from_slug,to_slug,type,note
vocational-trainer,vocational-school-teacher,adjacent,职业培训讲师与中职高职教师内容相邻
automotive-aftersales-service-advisor,sales-auto-consultant,adjacent,售后顾问与销售顾问同一门店链路
automotive-aftersales-service-advisor,customer-service-rep,adjacent,售后服务与客服技能同源
automotive-quality-engineer,quality-engineer,adjacent,汽车质量是质量工程的行业深化
automotive-quality-engineer,automotive-rd-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
automotive-rd-engineer,mechanical-engineer,adjacent,整车研发以机械工程为基础
automotive-rd-engineer,automotive-quality-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
new-energy-vehicle-battery-test-engineer,new-energy-battery-engineer,adjacent,电池测试与电池研发同链条
new-energy-vehicle-battery-test-engineer,reliability-test-engineer,adjacent,电池测试是可靠性测试的行业应用
airline-ground-service,flight-attendant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
airline-ground-service,rail-transit-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
courier-station-manager,logistics-warehouse-supervisor,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
courier-station-manager,logistics-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
flight-attendant,airline-ground-service,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
flight-attendant,rail-transit-operations,adjacent,乘务服务与轨交运营同为交通服务岗
freight-forwarder,customs-broker-declarant,adjacent,货代与报关同处国际物流链
freight-forwarder,shipping-operations-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
logistics-management-trainee,courier-station-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
logistics-management-trainee,logistics-warehouse-supervisor,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
logistics-warehouse-supervisor,warehouse-management,adjacent,三方物流仓储与企业仓储互为相邻
logistics-warehouse-supervisor,courier-station-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
port-terminal-operations,shipping-operations-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
port-terminal-operations,rail-transit-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
rail-transit-operations,port-terminal-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
rail-transit-operations,airline-ground-service,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
shipping-operations-specialist,freight-forwarder,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
shipping-operations-specialist,port-terminal-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supply-chain-analyst-logistics,supply-chain,adjacent,物流供应链分析与通用供应链相邻
supply-chain-analyst-logistics,data-analyst,adjacent,供应链分析以数据分析为基础
supply-chain-cold-chain-specialist,logistics-warehouse-supervisor,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
supply-chain-cold-chain-specialist,supply-chain-analyst-logistics,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
battery-materials-rd-engineer,new-energy-battery-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
battery-materials-rd-engineer,materials-engineer,adjacent,电池材料是材料工程的行业深化
chemical-process-engineer,process-engineer,adjacent,化工工艺与制造工艺方法同源
chemical-process-engineer,petrochemical-safety-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
environmental-assessment-engineer,hse-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
environmental-assessment-engineer,chemical-process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hse-engineer,petrochemical-safety-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hse-engineer,environmental-assessment-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
new-energy-battery-engineer,battery-materials-rd-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
new-energy-battery-engineer,new-energy-vehicle-battery-test-engineer,adjacent,电池研发与整车电池测试同链条
nuclear-power-engineer,power-grid-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
nuclear-power-engineer,hse-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
oil-gas-field-engineer,chemical-process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
oil-gas-field-engineer,petrochemical-safety-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
petrochemical-safety-officer,hse-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
petrochemical-safety-officer,chemical-process-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
power-grid-engineer,power-system-protection-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
power-grid-engineer,electrical-engineer,adjacent,电网工程以电气工程为基础
power-system-protection-engineer,power-grid-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
power-system-protection-engineer,electrical-engineer,adjacent,继保以电气工程为基础
wind-solar-project-engineer,power-grid-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
wind-solar-project-engineer,project-management-construction,adjacent,新能源项目建设与工程项目管理相邻
asset-mgmt,securities-research-buyside,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
asset-mgmt,fund-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fund-operations,asset-mgmt,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
fund-operations,securities-compliance,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
institutional-sales,securities-research-sellside,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
institutional-sales,wealth-management,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
investment-banking,securities-research,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
investment-banking,ma-financial-due-diligence,adjacent,投行与财务尽调同一交易链
investment-banking,legal-ma-capital-markets,adjacent,投行与资本市场法务同一交易链
quant,securities-research-buyside,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
quant,algorithm,adjacent,量化研究与算法工程技能重合
securities-compliance,fund-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
securities-compliance,legal,adjacent,证券合规与法务方法同源
securities-research,securities-research-sellside,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
securities-research,securities-research-buyside,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
securities-research-buyside,securities-research,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
securities-research-buyside,asset-mgmt,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
securities-research-sellside,securities-research,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
securities-research-sellside,institutional-sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
wealth-management,bank-wealth-manager,adjacent,券商投顾与银行理财经理同为财富管理
wealth-management,institutional-sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customs-broker-declarant,freight-forwarder,adjacent,报关与货代同处国际物流链
customs-broker-declarant,international-trade-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
foreign-trade-sales,international-trade-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
foreign-trade-sales,cross-border-ecommerce,adjacent,传统外贸与跨境电商同为出海销售
international-trade-specialist,foreign-trade-sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
international-trade-specialist,customs-broker-declarant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
actuary,insurance-underwriter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
actuary,quant,adjacent,精算与量化同为数理金融岗
bancassurance-sales,sales-insurance-agent,adjacent,银保渠道与个险代理互为相邻
bancassurance-sales,bank-wealth-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-corporate-account-manager,bank-credit-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-corporate-account-manager,credit-analysis,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-credit-officer,bank-corporate-account-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-credit-officer,credit-analysis,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-it-officer,backend-fintech,adjacent,银行科技岗与金融科技研发技能同源
bank-it-officer,banking,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-teller,banking,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-teller,bank-wealth-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-wealth-manager,bank-teller,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
bank-wealth-manager,wealth-management,adjacent,银行理财经理与券商投顾同为财富管理
bank-wealth-manager,bancassurance-sales,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
banking,bank-teller,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
banking,bank-corporate-account-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
credit-analysis,bank-credit-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
credit-analysis,risk-management,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
insurance-claims-adjuster,insurance-underwriter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
insurance-claims-adjuster,health-insurance-claims-specialist,adjacent,商保理赔与医保结算流程同源
insurance-underwriter,insurance-claims-adjuster,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
insurance-underwriter,actuary,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
risk-management,credit-analysis,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
risk-management,internal-audit,adjacent,风控与内审同处风险治理链
ai-application-engineer,llm-fine-tuning-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-application-engineer,backend,adjacent,Agent开发以后端工程为基础
ai-application-engineer,prompt-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-content-operations,content-operations,adjacent,AIGC内容运营是内容运营的AI形态
ai-content-operations,prompt-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-customer-service-designer,conversational-ai-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-customer-service-designer,customer-service-rep,adjacent,智能客服设计需理解人工客服流程
ai-ethics-governance-specialist,compliance-privacy,adjacent,AI治理与数据合规方法同源
ai-ethics-governance-specialist,ai-safety-red-teamer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-infra-engineer,mlops-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-infra-engineer,infra-middleware,adjacent,AI基础设施与通用基础架构相邻
ai-product-manager,product-manager,adjacent,AI PM是产品经理的AI深化
ai-product-manager,prompt-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-product-manager,ai-application-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-safety-red-teamer,penetration-tester,adjacent,AI红队与渗透测试方法同源
ai-safety-red-teamer,ai-ethics-governance-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-sales-solution-consultant,sales-enterprise-b2b-it,adjacent,AI售前与企业IT售前同为解决方案销售
ai-sales-solution-consultant,ai-product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-training-data-annotator,ai-content-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ai-training-data-annotator,llm-fine-tuning-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
conversational-ai-designer,ai-customer-service-designer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
conversational-ai-designer,interaction-design,adjacent,对话式体验设计与交互设计方法同源
digital-human-engineer,three-d-design,adjacent,数字人制作以三维设计为基础
digital-human-engineer,multimedia-dev,adjacent,数字人渲染与音视频技术交叉
llm-fine-tuning-engineer,algorithm,adjacent,大模型微调以算法工程为基础
llm-fine-tuning-engineer,nlp-algorithm-engineer,adjacent,微调工程与NLP算法同源
llm-fine-tuning-engineer,mlops-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
mlops-engineer,devops-sre,adjacent,MLOps以DevOps方法为基础
mlops-engineer,ai-infra-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
prompt-engineer,ai-product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
prompt-engineer,ai-application-engineer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
air-traffic-controller,airline-ground-service,adjacent,空管与地勤同处民航运行体系
air-traffic-controller,flight-attendant,adjacent,空管与乘务同处民航运行体系
community-social-worker,public-hospital-administrative-staff,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
library-museum-staff,public-institution-researcher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
library-museum-staff,book-editor,adjacent,图书馆员与图书编辑内容素养相邻
meteorological-bureau-staff,public-institution-researcher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
public-hospital-administrative-staff,admin,adjacent,医院行政与企业行政技能同源
public-hospital-administrative-staff,hospital-purchasing-specialist,adjacent,医院行政与医院采购同处院内管理
public-institution-researcher,research-institute-assistant,adjacent,事业编科研与院所科研岗相邻
public-institution-researcher,library-museum-staff,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
state-owned-enterprise-management-trainee,banking,adjacent,央国企管培与银行管培互为择业对照
clinical-physician,registered-nurse,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
clinical-physician,public-health-cdc-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-technologist-lab,radiology-technologist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
medical-technologist-lab,clinical-physician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pharmacist-hospital,pharmacist-retail,adjacent,医院与零售药师同执业不同场景
pharmacist-hospital,clinical-physician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
public-health-cdc-officer,clinical-physician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
public-health-cdc-officer,food-safety-qa-specialist,adjacent,公卫监督与食品安全监管交叉
radiology-technologist,medical-technologist-lab,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
radiology-technologist,clinical-physician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
registered-nurse,clinical-physician,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
registered-nurse,hospital-nursing-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
rehabilitation-therapist,registered-nurse,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
rehabilitation-therapist,special-education-teacher,adjacent,康复治疗与特教服务人群重叠
court-enforcement-officer,judge-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
judge-assistant,prosecutor-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
judge-assistant,lawyer-litigation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
judge-assistant,court-enforcement-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
lawyer-corporate-nonlitigation,lawyer-litigation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
lawyer-corporate-nonlitigation,legal-ma-capital-markets,adjacent,非诉律师与企业资本市场法务互为镜像
lawyer-litigation,lawyer-corporate-nonlitigation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
lawyer-litigation,judge-assistant,adjacent,诉讼律师与法院系统互为流动通道
lawyer-litigation,paralegal,adjacent,律师助理是诉讼律师入行前站
notary-public,judge-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
notary-public,lawyer-corporate-nonlitigation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
prison-police,court-enforcement-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
prosecutor-assistant,judge-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
prosecutor-assistant,lawyer-litigation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
k12-public-school-teacher,k12-subject-teacher,adjacent,公办与机构教师同学科不同体制
k12-public-school-teacher,rural-special-post-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
kindergarten-public-teacher,early-childhood-educator,adjacent,公办与民办幼教同执业不同编制
kindergarten-public-teacher,k12-public-school-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
rural-special-post-teacher,k12-public-school-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
university-admin-staff,university-teaching-assistant,adjacent,高校行政与辅导员同处高校管理体系
university-admin-staff,admin,adjacent,高校行政与企业行政技能同源
vocational-school-teacher,k12-public-school-teacher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
vocational-school-teacher,vocational-trainer,adjacent,中职高职教师与职业培训讲师内容相邻
postdoc-researcher,university-lecturer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
postdoc-researcher,research-institute-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
research-institute-assistant,postdoc-researcher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
research-institute-assistant,public-institution-researcher,adjacent,院所科研与事业编科研岗相邻
university-lecturer,postdoc-researcher,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
university-lecturer,vocational-school-teacher,adjacent,高校专任教师与高职教师同处教职序列
university-teaching-assistant,university-admin-staff,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
university-teaching-assistant,k12-public-school-teacher,adjacent,辅导员与公办教师同为教育编制岗
procurement,supply-chain-planner,upstream,采购是生产计划的物料供给上游
process-engineer,production-engineer,upstream,工艺定义在生产执行上游
game-design,game-client-engineer,upstream,策划案在客户端开发上游
script-writer,film-tv-production-assistant,upstream,剧本在拍摄制作上游
education-curriculum-designer,k12-subject-teacher,upstream,教研课程产出在授课上游
cra-clinical,regulatory-affairs-pharma,upstream,临床监查数据在药品注册上游
data-warehouse-dev,data-analyst,upstream,数仓建设在数据分析上游
securities-research-sellside,asset-mgmt,upstream,卖方研究服务买方资管决策
marketing,sales,upstream,市场获客线索流向销售转化
real-estate-investment-expansion,real-estate,upstream,投拓拿地在营销策划上游
architect-assistant,civil-construction-site-engineer,upstream,建筑设计在现场施工上游
product-manager,qa-automation-engineer,downstream,产品需求流向测试验证下游
